code_departement,nom_departement,nom_commune,code_commune,valeur_fonciere,surface_reelle_bati,nombre_pieces_principales,type_local,surface_terrain,population_2021,population_2015,pourcentage_chomage_2021,pourcentage_chomage_2020,pourcentage_taux_cambriolages,evolution_2016_2021,loyer_moyen,prix_moyen(m²),rendement_locatifs
11,Aude,Pezens,11288,160000,96,4,Maison,1696,377000,360000,10.4,10.4,5.9,-23.7,8.215598908,1666.67,5.92
11,Aude,Saint-Denis,11339,110000,84,3,Maison,1563,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,1309.52,6.22
11,Aude,Castans,11075,98000,98,4,Maison,900,377000,360000,10.4,10.4,5.9,-23.7,7.649069755,1000,9.18
11,Aude,Castans,11075,98000,98,4,Maison,500,377000,360000,10.4,10.4,5.9,-23.7,7.649069755,1000,9.18
11,Aude,Carcassonne,11069,15000,39,2,Maison,44,377000,360000,10.4,10.4,5.9,-23.7,8.817775856,384.62,27.51
11,Aude,Fendeille,11138,145113,156,4,Maison,17740,377000,360000,10.4,10.4,5.9,-23.7,7.571762949,930.21,9.77
11,Aude,Fendeille,11138,145113,156,4,Maison,4740,377000,360000,10.4,10.4,5.9,-23.7,7.571762949,930.21,9.77
11,Aude,Fendeille,11138,145113,156,4,Maison,76725,377000,360000,10.4,10.4,5.9,-23.7,7.571762949,930.21,9.77
11,Aude,Puivert,11303,110000,84,3,Maison,7100,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,1309.52,6.89
11,Aude,Puivert,11303,110000,84,3,Maison,80,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,1309.52,6.89
11,Aude,Antugnac,11010,160000,118,3,Maison,1200,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,1355.93,6.01
11,Aude,Antugnac,11010,160000,118,3,Maison,3980,377000,360000,10.4,10.4,5.9,-23.7,6.789607528,1355.93,6.01
11,Aude,Moussoulens,11259,60000,150,4,Maison,1234,377000,360000,10.4,10.4,5.9,-23.7,6.789026993,400,20.37
11,Aude,Saissac,11367,65200,70,3,Maison,393,377000,360000,10.4,10.4,5.9,-23.7,6.860072163,931.43,8.84
11,Aude,Conques-sur-Orbiel,11099,120000,104,3,Maison,163,377000,360000,10.4,10.4,5.9,-23.7,8.16317043,1153.85,8.49
11,Aude,Villelongue-d'Aude,11427,259000,96,3,Maison,295,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,2697.92,3.34
11,Aude,Villelongue-d'Aude,11427,259000,96,3,Maison,3000,377000,360000,10.4,10.4,5.9,-23.7,7.515249356,2697.92,3.34
11,Aude,Palaja,11272,195000,90,4,Maison,912,377000,360000,10.4,10.4,5.9,-23.7,7.497535481,2166.67,4.15
11,Aude,Alairac,11005,750000,35,2,Maison,7700,377000,360000,10.4,10.4,5.9,-23.7,8.215598908,21428.57,0.46
11,Aude,Alairac,11005,750000,70,2,Maison,7700,377000,360000,10.4,10.4,5.9,-23.7,8.215598908,10714.29,0.92
11,Aude,Alairac,11005,750000,25,1,Maison,7700,377000,360000,10.4,10.4,5.9,-23.7,8.215598908,30000,0.33
11,Aude,Alairac,11005,750000,320,7,Maison,327,377000,360000,10.4,10.4,5.9,-23.7,8.215598908,2343.75,4.21
11,Aude,Belvianes-et-Cavirac,11035,30000,33,1,Maison,24,377000,360000,10.4,10.4,5.9,-23.7,5.933894282,909.09,7.83
